Reference Title,Reference Link,Short Title,Description of Patient Harm,Direct Quote,Time Point,Speciality,Technical Domain,Clinical Impact Score
Dealing with digital paralysis: Surviving a cyberattack in a National Cancer center,https://www.sciencedirect.com/science/article/pii/S2213538323000838,Non-urgent monitoring FBC and Coagulation testing is paused,"Due to strains on the labs, only emergency full blood count and coagulation tests are run, impacting patients who rely on these tests as part of non-urgent monitoring (e.g. anti coagulated patients, aneamia).","Routinely, 2500 full blood count (FBC) and 500 coagulation samples are processed daily in CUH, however this was restricted to emergency samples only in the first seven days.",First Week,Heamatology,Laboratory Systems,6
Dealing with digital paralysis: Surviving a cyberattack in a National Cancer center,https://www.sciencedirect.com/science/article/pii/S2213538323000838,Compromised end-of-life care for palliative patients,Issues with lost communication pathways and laboratory results prevented correct treatment of palliative patients and disturbance to end of life care plans.,"Palliative care practitioners relied on personal devices for new patient referrals and consultants with loss of access to HSE email and telephones. For patients with renal and hepatic impairment, delays in laboratory processing posed challenges for drug and opioid prescribing. Delayed decision making ultimately for some, meant that their place of death was in hospital, rather than their preferred place.",First Week,All,Communications,8
Hacking Acute Care: A Qualitative Study on the Health Care Impacts of Ransomware Attacks Against Hospitals,https://pubmed.ncbi.nlm.nih.gov/37318433/,Difficulty caring for emergency patients due to lost protocols,Loss of hospital intranet and protocols leading to challenges to treating acutely unwell and complex patients,"Emergency care protocols were unavailable during the attacks and had to be retrieved from the internet or borrowed from other hospitals. Hospital staff often felt lost without the availability of computers and described it to be crippling: “hospitals have become so digital that you can't really work without these systems, and that’s a scary thought.” Similarly, someone stated that “the expectations for the standard of care here are dependent on real-time electronic connection.”",First Hour,Emergency & Acute Medicine; General Medicine; General Surgery,Hospital Infrastructure,7
Hacking Acute Care: A Qualitative Study on the Health Care Impacts of Ransomware Attacks Against Hospitals,https://pubmed.ncbi.nlm.nih.gov/37318433/,Difficulty tracking patients in the ED and hospital,Loss of digital tracking board and use of paper-based records increased risk of patients being lost or not being able to be located by clinical teams.,"All hospitals replaced the digital ED tracking board with a whiteboard. However, ongoing whiteboard edits were confusing, and ED staff indicated difficulties in tracking and reporting patient status.",First Day,Emergency & Acute Medicine,Hospital Infrastructure,5
Hacking Acute Care: A Qualitative Study on the Health Care Impacts of Ransomware Attacks Against Hospitals,https://pubmed.ncbi.nlm.nih.gov/37318433/,"Waiting room overcrowding and lost results, leading to missed emergencies",Risk of patients with emergency conditions being overlooked due to missed diagnostics or overcrowding in the emergency department.,One physician mentioned the concern of important diagnostic findings going missing or potentially overlooking a patient with a serious and acute condition in the waiting room because of crowding.,First Week,Emergency & Acute Medicine; General Medicine; General Surgery,Hospital Infrastructure,8
How to Respond to a Ransomware Attack? One Radiation Oncology Department's Response to a Cyber-Attack on Their Record and Verify System,https://pubmed.ncbi.nlm.nih.gov/34644601/,Cancelled radiotherapy for cancer patients,Cancellation of radiation treatments in first 24 hours of cyberattack due to lost records on dosing and prescriptions.,"In the first 24 hours, no patients were treated, within 2 days 50% of patients (that were under treatment when the ransomware attack occurred) were treated, and within 1 week, 95% were treated. Weekend treatments were performed to account for missed fractions. Clinic hours were extended, as approximately 2 to 3 patients could be treated per hour with DDL (compared with 4-5 in RVS)",First Day,Oncology,Health Records,7
How to Respond to a Ransomware Attack? One Radiation Oncology Department's Response to a Cyber-Attack on Their Record and Verify System,https://pubmed.ncbi.nlm.nih.gov/34644601/,Risk of incorrect fractions of radiation for oncology patients,"The loss of the Radiation Oncology (RO) record, prevented clinicians from knowing which patients were under treatment and how many fractions of radiation they’d received, potentiating errors in their cumulative radiation dose.","Before implementing a back-up treatment delivery plan, 2 significant challenges needed to be addressed: (1) establishing which patients were under treatment, (2) and how many fractions had been delivered for each patient under treatment. Pre-existing interfaces between the RO RVS and the hospital electronic medical record (EMR) software exported appointments, prescriptions, daily, and cumulative doses from the RVS to the EMR.",First Day,Oncology,Health Records,6
Impact of and Response to Cyberattacks in Radiation Oncology,https://www.sciencedirect.com/science/article/pii/S2452109422000045,Cancellation of all radiation treatments,Loss of the Radiation Oncology Information System (ROIS) meant that all radiation treatments for cancer patients had to be cancelled.,"By noon of the first day of the cyberattack, the radiation oncology information system (ROIS) (*** ***) required for radiation treatments and scheduling became inaccessible and all remaining radiation treatments were canceled.  //  Because patient information was inaccessible, no contact information was available to inform patients of treatment cancellations. Patients arriving for canceled radiation treatments were asked for their contact information and this was recorded on paper. With no access to electronic patient information, treatment schedules, or current radiation dose, the radiation oncology team compiled a physical chart for each patient using previously printed demographics and schedules. Using printed patient information, the radiation therapists, nurses, administrative staff, and physicians started daily phone calls to patients to keep them updated on the evolving situation. As the community learned of the cyberattack, patients were understandably distressed by their treatment interruption, but also sympathetic and understanding of the circumstances.",First Day,Oncology,Health Records,7
Impact of and Response to Cyberattacks in Radiation Oncology,https://www.sciencedirect.com/science/article/pii/S2452109422000045,Risk of incorrect fractions of radiation for oncology patients,"The loss of the radiation oncology information system (ROIS) increased the risks of dosage errros for patients recieving radiation, due to the loss of safety checks with the move to manual procedures. "," The first consideration was that treatment outside the ROIS bypasses multiple safety checks offered by automatic record and verify systems. For example, this method of treatment delivery did not record the number of fractions or total dose delivered to the patient and there was no method to account for beam interruptions during treatment and other recovery mechanisms. The second consideration was that the LINAC coordinate system differed from the coordinate system in the treatment plans. As a result, all beams were entered manually and had to be converted from plan coordinates to machine coordinates before entry. Although this conversion was not complex, it did present an additional opportunity for errors and required an associated mitigation strategy. ",First Day,Oncology,Health Records,6
Impact of and Response to Cyberattacks in Radiation Oncology,https://www.sciencedirect.com/science/article/pii/S2452109422000045,Chemotherapy infusion services drop by 52%,"Due to the system outage affecting chemotherapy infusion records and patient histories, the hospitals provision of chemotherapy reduced by 52% requiring diversion of patients elsewhere. ","Hospital system outages for laboratory services and chemotherapy infusion records were not readily accessible, and chemotherapy infusion patients were unable to receive intended oncology care. Due to these delays and the need to divert patients to other cancer centers, chemotherapy infusion visit volume dropped by 52% initially and then incrementally increased as services slowly recovered over the following month.",First Week,Oncology,ePrescribing,8
Impact of and Response to Cyberattacks in Radiation Oncology,https://www.sciencedirect.com/science/article/pii/S2452109422000045,Complications and side effects of treatment breaks affecting cancer patients,"Breaks in cancer treatment, especially planned radiation treatment or chemotherapy, can cause patients to develop further complications from their cancer.","Because extended treatment breaks had the potential to affect the oncological outcomes for some patients more than others, the physicians prioritized patient treatments while striving to maintain an ethical and practical framework for these treatment decisions based on treatment intent, tumor biology, and anticipated effect of treatment delays. Patients were individually triaged by physicians and stratified into groupings for treatment. Triage group 1, requiring the most immediate need to resume treatment, included patients already undergoing curative treatment with primary radiation or concurrent chemotherapy and radiation. The second triage group included patients approaching the end of their radiation course. Triage group 3 consisted of patients with tumors expected to have slower cell repopulation, such as prostate cancer or low- risk breast cancer.",First Day,Oncology,Health Records,7
Impact of Trauma Hospital Ransomware Attack on Surgical Residency Training,https://www.journalofsurgicalresearch.com/article/S0022-4804(18)30477-3/abstract,Delays in surgical planning due to loss of hospital intranet,"Loss of hospital intranet protocols caused distress for surgical residents, tasked with reviewing patients and forming plans.","The lack of online resource availability was significantly stressful for residents. The ability to quickly look up information online before calling attending surgeons probably allowed residents to appear more well read and formulate a plan that they otherwise may not have had based on their existing fund of knowledge. The same logical inference can be made about the ready availability of radiology reports and laboratory reference ranges, though these measures were not explicitly measured in our present study. The lack of online resource availability may have stressed our general surgery residents more than our orthopedic surgery residents because general surgery as a specialty covers more organ systems and a wider range of critical conditions (e.g., patients in the intensive care unit). Senior residents likely felt less stressful with the downtime because of previous experience working on paper when they were junior residents. Furthermore, the management-oriented roles associated with increased rank likely insulated senior res- idents from being as directly affected by the downtime as the interns and junior residents.",First Day,General Surgery; Orthopaedics,Hospital Infrastructure,6
Impact of Trauma Hospital Ransomware Attack on Surgical Residency Training,https://www.journalofsurgicalresearch.com/article/S0022-4804(18)30477-3/abstract,Errors in post-operative medications and analgesia,"Surgical residents struggle to prescribe post-surgical medications such as analgesia, due to loss of ePrescribing.","""Residents did not know how to chart: “It was nonstop from pharmacies that the prescription was not done right.” [S2] “I can’t tell you how many notes were not signed or did not have complete information. I saw an ICU note without information, and when I asked the resident, they couldn’t figure out what was missing. It brought to the surface the bigger stuff that people take for granted what’s in front of them.” ",First Week,General Surgery,ePrescribing,7
Impact of Trauma Hospital Ransomware Attack on Surgical Residency Training,https://www.journalofsurgicalresearch.com/article/S0022-4804(18)30477-3/abstract,Loss of historic angiograms and ability for new angiograms,"The loss of patients historic angiograms, e.g. for visualising coronary vessels, creates barriers to surgical planning. Additionally, the loss of real-time angiography may detrimentally impact procedures such as placing stents, grafts and identifying vascular complications (e.g. perforation).","“If you are going to do an angio on someone who has previous angios and can’t look at those images, that is a significant negative impact.",First Day,Emergency & Acute Medicine; Cardiology; General Surgery; Paediatrics; Orthopaedics,Imaging,8
Impact of Trauma Hospital Ransomware Attack on Surgical Residency Training,https://www.journalofsurgicalresearch.com/article/S0022-4804(18)30477-3/abstract,Missed injuries and fractures due to lost imaging,"The lack of imaging particularly impacted more junior residents, who could lost safety nets and the ability to check images several times.","""Ransomware attack eliminated EMR safety nets without restoring those that existed with PMR: “I had a patient that had a missed injury, and I think that while we can still blame ourselves for not doing our due diligence, perhaps, a lot of the safety nets that would have been in place to catch the injury were not there. Being able to readily review imaging a second time, readily pull up the report for the scan, having easily available notification systems, being able to review the chart easily or at my convenience instead of bedside when it’s not there. there were a lot of different places for mistakes to happen.”",First Week,General Surgery; Orthopaedics,Imaging,8
Impact of Trauma Hospital Ransomware Attack on Surgical Residency Training,https://www.journalofsurgicalresearch.com/article/S0022-4804(18)30477-3/abstract,No 3D reconstruction software for surgical planning,"Surgical residents may be dependant on 3D reconstruction to enhance visualisation, diagnosis, surgical planning, and patient education by transforming 2D images into detailed 3D models, improving understanding and outcomes. Without these tools, there may be barriers to optimising operations, resulting in sub-optimal surgical outcomes.","During the downtime, we didn’t have 3D reconstruction, which forced us to realize maybe we aren’t doing as good a job training residents to visualize.",First Hour,General Surgery,Imaging,7
Increase in health-care cyberattacks affecting patients with cancer,https://pubmed.ncbi.nlm.nih.gov/34332657/,Cancellation of Radiotherapy for cancer Patients,Disruption of Radiotherapy services preventing treatment,"Hackers targeted the software for linear accelerators used in radiotherapy, resulting in disruption to treatment sessions at 42 different health-care sites. This hack of clinical technology represents an emerging threat in global medical technology cybersecurity, in which attacks are no longer limited to the usual data breaches but increasingly target medical systems to disrupt patient care and devices that function as entry points into hospital networks. Devices infected by ransomware can be disabled so that they no longer perform their clinical function, experts warn, thus affecting the very functionality on which patient health care depends.",First Day,Oncology,ePrescribing,8
Interprofessional Communication Goes Up When the Electronic Health Record Goes Down,https://pubmed.ncbi.nlm.nih.gov/30253982/,Patients cannot get prescription refills from pharmacy,"Cyberattack causes clinicians in hospital to transition to paper based prescribing, however this was not communicated to local pharmacies who rejected many of these prescriptions. ","For example, leading up to the ransomware attack, all prescriptions were sent and filled. That capability disappeared when the EHR shut down, but in the initial days following the ransomware attack, the EHR downtime had not become local public knowledge, and many pharmacies refused the paper prescriptions being presented to them by recently discharged patients. Phone calls between members of the surgery team and outside pharmacies were noted as one of many examples of inefficiencies that contributed to the lengthening of the workday at the beginning of the EHR downtime. Furthermore, trust but verify took on heightened importance because there was no guarantee that anything anyone said, however well-intentioned, was true or that a task would be successfully completed in a timely fashion, if at all.",First Week,All,ePrescribing,5
Learnings From a National Cyberattack Digital Disaster During the SARS-CoV-2 Pandemic in a Pediatric Emergency Medicine Department,https://www.cambridge.org/core/journals/disaster-medicine-and-public-health-preparedness/article/learnings-from-a-national-cyberattack-digital-disaster-during-the-sarscov2-pandemic-in-a-pediatric-emergency-medicine-department/1B36FA7C5C1A8C924F7C88E63FCD8467,Increase in paediatric presentations to ER,"Due to the loss of outpatient and primary care services, there is an increase in paediatric presentations to the Emergency Room","Externally, it should be noted that cyberattack-related national public announcements did not result in the desired outcome of reducing pediatric ED attendances. This is hugely different from initial SARS-CoV-2 pandemic experience and during the WannaCry attack across the NHS in England; visits to the ED decreased by an average of 6% per infected hospital per day. In this study, despite a 25% decline in attendance on the second day following the cyberattack compared to the average for all 3 periods, daily visits during system outage were on average 3% higher compared to Period 1 and 6% higher compared to Period 3, despite public announcements. Compared to matched periods in 2019, visits were higher for all 3 periods of time in 2021. The observed increase in attendances during the cyberattack period reflects the role placed upon the pediatric ED in the Irish health system for the provision of unscheduled primary and secondary care during a National Cyberattack.",First Week,Paediatrics,Hospital Infrastructure,5
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Risk of adverse drug reactions due to missed information on hospital admission,"Ward patients may be at risk of adverse drug reactions or missing vital meds, if admission failed to capture full histories in complex patients for whom previous health records were not available.","It is important to emphasise that if essential elements of the history were not detected on admission, they were unlikely to be recognised on the ward. Thus, there was the possibility of repeated errors and harm coming to patients either while on the ward or, possibly worse still, when in the OR, due to key information not being obtained on admission. ",First Week,General Medicine; Emergency & Acute Medicine; General Surgery; Paediatrics; Orthopaedics,Health Records,7
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Cancellation of surgeries requiring intraoperative imaging,"Cancellation of surgeries requiring intraoperative imaging, particularly patients with spinal conditions","Cases that required intraoperative imaging, including all spinal surgery and the majority of trauma cases, were also adversely impacted. This obviously had a profound impact on patients and the department at the time and continues to have a lasting impact to this day. As of December 2021, the number of patients who have been on the waiting list for their elective operation for greater than 4 months, a key target set by the Ministry of Health, has increased by 25% from prior to the ransomware attack with no realistic chance of catching up for the lost time.",First Week,Orthopaedics; Neurology; General Surgery,Imaging,6
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,CT Imaging capacity significantly reduced for diagnosis or surgical planning,"CT scanners could no longer export images and reporting was delayed, resulting in significant rationing of CT imaging","*Quote 1*: The ability to obtain CT for either diagnosis or surgical planning was especially challenging. As with plain radiography, the only way to view these images in detail was at the CT unit itself. Due to the inability to export the images off the scanner for delayed reporting, the rate of scanning slowed to a point where just two scans per hour were being performed to facilitate simultaneous reporting by radiology staff. Because of the huge stress this put on the Radiology Department there was a concerted effort to limit imaging requests to only those patients who absolutely required it.  *Quote 2*: The rationing of investigations, particularly CT, highlights two key ethical principles. First, beneficence; ensuring that advanced imaging was only being requested for those patients who absolutely required it helped to decrease the burden on the radiology department and ensured that scans could be done and reported on as quickly as possible. Second, justice; deciding which patients warranted further investigation immediately and which did not. This could be easy at times, for example, prioritising a CT brain for a patient with head trauma where there is an urgent need to make an assessment and plan intervention over a patient with a periarticular fracture requiring a CT scan for preoperative planning where a delay is unlikely to impact the clinical outcome. However, it could also be extremely challenging, for example, when two or more patients with similar injuries required a CT scan for surgical planning. Decision-makers could be placed in the difficult situation where the patient’s best interest, to get the investigation, may not be in the wider publics best interest, to defer the investigation to allow those with more acute concerns to be investigated instead.",First Day,All,Imaging,7
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Relative increase in mild-to-moderate orthopaedic injury cases,"Staff report that due to diversion of major trauma, Orthopaedics had to deal with mild-to-moderate trauma akin to the ‘walking wounded’ - Differing significantly from Mass casualty events.","On reflection, this rationing of investigations was similar to that seen in a mass casualty triage situation, where the overarching concept is to, ‘do the greatest good for the greatest number’,14 although there are some important differences. First, all severe trauma from around the wider catchment region of the hospital was diverted to other hospitals. This meant that those patients most affected by this rationing of investigations were those with mild-to-moderate trauma akin to the ‘walking wounded’ in the mass casualty setting (e.g. ankle or distal radius fractures), which made up most of the patient load in orthopaedic surgery during this time. This is different to that seen in a mass casualty situation where the injuries are often more time critical, and the clinician may be faced with making a series of decisions almost simultaneously that have immediate or very short-term impact on life or limb. Second, was the prolonged period of time having to function at reduced capacity rather than having a sudden increase in case numbers from a single traumatic event but of short duration.",First Week,Orthopaedics; General Surgery,Imaging,6
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Clinicians risk mishandling patient data with personal devices,"Healthcare staff move to using their personal devices for communications, which can raise risks of mismanagement of private health information.","Harm relates not only to the physical but also the mental and emotional, such as by mishandling patient data on personal electronic devices, due to no reasonable alternative existing or being provided to the clinician to use. In the immediate aftermath of the ransomware attack, the use of personal devices to transfer information around the hospital was deemed essential and done so with verbal consent. The content was later deleted once appropriate documentation completed and relevant decisions made and acted on. During normal activity this would be considered at odds with many ethical principles, but faced with the challenges described, this practice was considered just, to ensure patient care could be delivered as safely as possible and in a timely manner.",First Day,All,Communications,4
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Delays in emergency blood testing,Longer turnaround times for blood tests for critical conditions for emergency patients presenting to the hospital.,Obtaining new investigations was almost just as difficult; the laboratory had to manually analyse blood tests and other specimens and return results printed on paper to the clinician by hand. This placed a considerable burden on the laboratory staff and significantly slowed down the turnaround time for a result to be obtained.,First Hour,Emergency & Acute Medicine,Laboratory Systems,8
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,"Deterioration in surgical problems that had been post-poned, becoming non-operable","The decision to delay elective surgeries led to adverse outcomes for patients whose conditions, with time, became non-operable.  For example, a patient with a reparable massive rotator cuff tear may progress to the point where it is no longer reparable.","The matter is complicated however, as postponement of elective surgeries may also result in indirect harms to patients in the future. For example, a patient with a reparable massive rotator cuff tear may progress to the point where it is no longer reparable, a challenging situation also encountered by orthopaedic surgeons during the COVID-19 pandemic.17 Thus, on occasions during the ransomware attack, surgeons were forced into the difficult decision of delaying elective surgery for patients who would have normally been offered it, aware that the patient may suffer long-lasting detrimental effects as a result of this decision.",First Month,Orthopaedics;General Surgery,Operating Rooms,6
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Cancellation of major elective surgeries,"Cancellation of major elective surgery, such as hip and knee arthroplasty and elective spine surgery.","Cancellation of major elective surgery, such as hip and knee arthroplasty, as well as all elective spine surgery, was deferred. // Quote 2: The deferral of elective surgery was one of the first key decisions made by the department after the ransomware attack and had two primary advantages: first, it freed up valuable resources to allow acute cases to be managed in as timely a fashion as possible. Second, it kept patients who were otherwise well, out of hospital, ensuring they were not exposed to a potentially harmful environment. Only those patients requiring operations that were deemed emergent or urgent were taken to the operating room (OR). This included, but was not limited to, conditions such as open fractures, hip fractures, lower limb long bone fractures, unstable spine fractures and musculoskeletal infection.",First Week,Orthopaedics,Operating Rooms,6
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Errors for the elderly & those with multimorbidity,"Multimorbid patients, the elderly and those with cognitive impairments at greater risk of treatment and medication errors.","Without the hospital computer system, the only way to obtain a patient’s medical history was to retrieve old paper files from medical records (delayed due to loss of hospital intranet and associated communication tools) or rely on the patient. This was not a significant problem for the patient who could communicate well and had few comorbidities. However, the multimorbid patient with a considerable medical history or the cognitively impaired patient who was unreliable, presented major challenges to taking an accurate history. There was a very real risk of previous diagnoses or recent changes to medications being missed, especially in the elderly, that could result in harm, for example the elderly patient with a hip fracture taking oral anticoagulants.",First Hour,Orthopaedics; General Surgery; General Medicine,Health Records,7
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Loss of CT preventing surgical planning for unwell patients,"CT Scanning became severely restricted, preventing surgeons identifying pathology for patients and planning surgeries.","The ability to obtain CT for either diagnosis or surgical planning was especially challenging. As with plain radiography, the only way to view these images in detail was at the CT unit itself. Due to the inability to export the images off the scanner for delayed reporting, the rate of scanning slowed to a point where just two scans per hour were being performed to facilitate simultaneous reporting by radiology staff. Because of the huge stress this put on the Radiology Department there was a concerted effort to limit imaging requests to only those patients who absolutely required it",First Day,All,Imaging,8
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Loss radiological imaging and viewing platforms on wards,"Clinicians unable to view radiological images for patients on wards, due to loss of centralised system.","Plain radiography was available in the ED, however there was no way of downloading images onto a centralised system to be viewed around the hospital. Thus, the only way to view images was at the specific machine where the imaging had been acquired or in a delayed fashion via photographs of the radiographs on a smartphone. Additionally, machines had only a limited storage capacity before images would have to be deleted to make room for new acquisitions.",First Day,All,Imaging,7
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Lost patients in hospital,"Inability to locate patients due to disrupted tracking between Emergency Department and Hospital Wards, leading to missed blood test results for these patients. ","Frequently patients would have moved from the ED to the ward by the time the results were at hand, but with no electronic system detailing where the patient had been transferred to, the portering staff would have to reroute themselves via the ED to confirm the correct location of the patient.",First Day,All,Hospital Infrastructure,6
Navigating our way through a hospital ransomware attack: ethical considerations in delivering acute orthopaedic care,https://pubmed.ncbi.nlm.nih.gov/35197299/,Risks of surgical errors for spinal patients,"Risks of surgical errors due to lost intraoperative imaging, risks particularly highlighted for spinal patients where imaging is needed for ascertaining disc level issues.","One area where these effects were acutely felt by surgeons was an inability to display relevant imaging of any nature in the OR during a procedure. For example, a surgeon could not readily access MRI or CT images during a spinal procedure presenting the significant risk of wrong-level surgery or suboptimal decompression.",First Week,Orthopaedics,Imaging,7
NHS makes urgent appeal for blood donations after cyberattack on London hospitals,https://www.bmj.com/content/385/bmj.q1277.full,Cancellation of transplant surgeries,The impact of the cyberattack on the ability of hospitals to cross-match patient blood type led to the cancellation of transplant surgeries,"The NHS has made an urgent appeal for O blood type donors in response to the cyberattack that forced some of the largest hospitals in London to cancel operations and divert patients to other trusts. The ransomware attack on Synnovis, a provider of pathology services, on 3 June prompted trusts using the IT service to declare a critical incident because of the impact on areas including transplant surgeries and blood transfusions. Guy’s and St Thomas’—one of the trusts affected—asked medical students to assist in delivering blood tests while IT systems are down, according to a memo obtained by the Sunday Times.1",First Week,"General Surgery, Oncology",ePrescribing,8
NHS makes urgent appeal for blood donations after cyberattack on London hospitals,https://www.bmj.com/content/385/bmj.q1277.full,Hospitals run out of O Negative Blood,"As hospitals were unable to cross-match patient blood type, O negative blood had to be used in urgent cases (e.g. Trauma Patients, Emergency C Sections). However these resources were rapidly used up necessitating a national call for blood donors.","The NHS has made an urgent appeal for O blood type donors in response to the cyberattack that forced some of the largest hospitals in London to cancel operations and divert patients to other trusts. The ransomware attack on Synnovis, a provider of pathology services, on 3 June prompted trusts using the IT service to declare a critical incident because of the impact on areas including transplant surgeries and blood transfusions. // The hospitals affected have been unable to match patients’ blood at the same frequency as normal. NHS Blood and Transplant has appealed for donations of O type blood as it is safe to use when a patient’s blood type is unknown

",Week 2,Obstetrics; Emergency & Acute Medicine; General Surgery; Orthopaedics; Paediatrics; General Medicine,ePrescribing,8
"NHS WannaCry Ransomware Attack: Technical Explanation of the Vulnerability, Exploitation, and Countermeasures",https://ieeexplore.ieee.org/document/10050485,Longer ambulance journeys leading to delays in care,"Ambulances redirected due to hospitals compromised from cyberattack, due to delays and longer journeys.",The redirection of emergency ambulances to other hospitals for five acute trusts that were infected,First Day,Emergency & Acute Medicine,Hospital Infrastructure,7
"NHS WannaCry Ransomware Attack: Technical Explanation of the Vulnerability, Exploitation, and Countermeasures",https://ieeexplore.ieee.org/document/10050485,Backlog of outpatient appointments due to earlier cancellations,Cancellation of non-urgent outpatient appointments causing backlog,"Table I shows the total number of activity cross all trusts in the weeks before, after, and even during the incident [24]. The week following the attack saw less activity overall than the week prior, with the exception of outpatient cancellations. ",First Week,All,Booking Systems,7
Ransomware Attack Associated With Disruptions at Adjacent Emergency Departments in the US,https://pubmed.ncbi.nlm.nih.gov/37155166/,Adjacent hospitals experience greater volume of ED Patients,Victim hospital going on diversion leads to increased presentations at neighbouring emergency departments.,"At the time of the attack, diversion status necessity was reevaluated every 2 hours. Hospitals can also go on diversion during declared internal disasters, which HDO B initiated during the start of the ransomware attack, which did not require bihourly reevaluation.   Quote 2: San Diego County EMS reported on diversion of ambulance traffic to HDO B. They experienced a median of 27 cumulative hours (IQR, 18-32 hours) of diversion per day in the 4 weeks prior to the attack, 47 cumulative hours (IQR, 22-67 hours) per day during the 4 weeks of the attack, and 31 cumulative hours (IQR, 22-41 hours) per day of diversion in the 4 weeks after (Figure 2).  Quote 3: In this study, when comparing the preattack period with the attack period, there was an associated 15.1% increase in daily mean (SD) ED volume (ie, census) (from 218.4 [18.9] to 251.4 [35.2]), a 35.2% increase in mean (SD) ambulance arrivals (from 1741 [28.8] to 2354 [33.7]), a 6.7% increase in mean (SD) admissions (from 1614 [26.4] to 1722 [24.5]), and a 127.8% increase in visits where patients left without being seen.",First Day,Emergency & Acute Medicine; Cardiology; General Surgery; Neurology; Paediatrics; Orthopaedics,Hospital Infrastructure,7
Ransomware Attack Associated With Disruptions at Adjacent Emergency Departments in the US,https://pubmed.ncbi.nlm.nih.gov/37155166/,"Regional ERs experience increased ED wait times, negatively impacting acutely unwell patients","Research paper looking at regional effects, focused on impacts on 2 academic urban emergency departments (EDs) adjacent to a health care delivery organization under a month-long ransomware attack. Neighbouring hospitals were impacted due to the attacked hospital going on diversion and shifts in patient load.","The median ED door-to-room time (waiting room times) for the 4 weeks prior to the attack was 21 minutes (IQR, 7-62 minutes), 31 minutes (IQR, 9-89 minutes) during the 4 weeks of the attack, and 23 minutes (IQR, 8-66 minutes) for the 4 weeks after the attack.",First Week,Emergency & Acute Medicine; Cardiology; General Surgery; Neurology; Paediatrics; Orthopaedics,Hospital Infrastructure,7
Ransomware Attack Associated With Disruptions at Adjacent Emergency Departments in the US,https://pubmed.ncbi.nlm.nih.gov/37155166/,Increased Stroke presentations at neighbouring hospitals & risks of delayed care,"Hospitals adjacent to the centre hit by ransomware receive more patients due to diversion, especially those with time critical conditions such as Stroke. Due to the potential increase length of time that these transfers take and the time-critical nature of Stroke, this places patient at increased risk of adverse outcomes.","There was a significant increase in ED stroke code activations in the preattack phase (59), during the attack phase (103), and the postattack phase (65) (P = .009). There was also a significant increase in the number of confirmed strokes diagnosed when comparing the preattack phase (22), attack phase (47), and postattack phase (28) (P = .02). We saw increases in stroke code alerts, stroke diagnoses, and acute treatments with tPA and endovascular treatments during the cyberattack and recovery.  Several of the hospitals targeted by the ransomware attack are stroke centers, necessitating the transport of these high-acuity patients to a reduced number of functioning stroke centers in the region. This study showed, at HDO B, an associated 74.6% increase in stroke code activations (from 59 to 103) and 113.6% increase in confirmed strokes (from 22 to 47) from the preattack phase to the attack phase. ",First Day,Emergency & Acute Medicine,Hospital Infrastructure,7
Ransomware Attack Associated With Disruptions at Adjacent Emergency Departments in the US,https://pubmed.ncbi.nlm.nih.gov/37155166/,Nearby hospitals have increased length of hospital stays for inpatients,"Research paper looking at regional effects, focused on impacts on 2 academic urban emergency departments (EDs) adjacent to a health care delivery organization under a month-long ransomware attack. Neighbouring hospitals were impacted due to the attacked hospital going on diversion and shifts in patient load.","The median total LOS for admitted patients was 614 minutes (IQR, 424-1093 minutes) prior to the attack, which increased to 822 minutes (IQR, 497-1524 minutes) during the attack and decreased to 680 minutes (IQR, 452-1271 minutes) after the attack.",Week 2,All,Hospital Infrastructure,6
